,product_url,name_product,rating_product,rating_count_product,quantity_5_star,quantity_4_star,quantity_3_star,quantity_2_star,quantity_1_star,count_cmt,images_video,sold_out,low_price,hight_price,price,inventory,return_7_days,authentic,freeship_x,shopee_guaranteed,company,shop_name,shopee_mall_x,shop_total_review,total_products,response_rate,time_response,years_ex,follower,name,price_dis,price_nondis,freeship_y,rating,rating_count,monthly_sold,store_location,monthly_event,favorite_product,shopee_mall_y,discount_tag,image,ShopDacBiet
1917,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Nokia-6700-Slide-%C4%90%E1%BB%A7-M%C3%A0u-M%C3%A1y-N%E1%BA%AFp-Tr%C6%B0%E1%BB%A3t-Full-Ph%E1%BB%A5-Ki%E1%BB%87n-i.404523840.9327881441?position=1191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Điện thoại Nokia 6700 Slide - Đủ Màu - Máy Nắp Trượt - Full Phụ Kiện,559.000,₫559.000,False,3.5,2.0,2/tháng,TP. Hồ Chí Minh,True,,False,,https://cf.shopee.vn/file/def7e791ebe916f62451ed447b91dc86_tn,False
1918,https://shopee.vn/m%C3%A0n-h%C3%ACnh-vivo-y53s-2020-i.244292162.9679688171?position=1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,màn hình vivo y53s 2020,725.000,₫725.000,True,,,2/tháng,Hà Nội,True,,False,,https://cf.shopee.vn/file/069b188a8b8998d86c267b6a70a3df05_tn,False
1919,https://shopee.vn/c%E1%BA%A3m-%E1%BB%A9ng-sam-sung-j710-j7-2016-i.244292162.8376568783?position=1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cảm ứng sam sung j710/j7 2016,89.000,₫89.000,False,,,3/tháng,Hà Nội,True,,False,,https://cf.shopee.vn/file/744ebd29eb9c641f09e87ae65e1b97e7_tn,False
1920,https://shopee.vn/-S%E1%BB%91c-%C4%90i%E1%BB%87n-tho%E1%BA%A1i-nokia-c%E1%BB%95-chi%E1%BA%BFc-l%C3%A1-nh%E1%BB%8F-7260-sang-tr%E1%BB%8Dng-gi%C3%A1-r%E1%BA%BB-ch%C3%ADnh-h%C3%A3ng-B%E1%BA%A3o-h%C3%A0nh-12-th%C3%A1ng-i.405102750.7184939609?position=1208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Sốc] Điện thoại nokia cổ chiếc lá nhỏ 7260 sang trọng giá rẻ chính hãng-Bảo hành 12 tháng,325.000,₫325.000,False,3.0,1.0,2/tháng,TP. Hồ Chí Minh,False,,False,,https://cf.shopee.vn/file/a5ae2e601eb95e9f01f73d6b87bcf9db_tn,True
1921,https://shopee.vn/%E1%BB%90c-%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Nokia-8800-Arte-i.14474334.5944131780?position=1210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ốc Điện thoại Nokia 8800 Arte,50.000,₫50.000,False,,,2/tháng,TP. Hồ Chí Minh,True,,False,,https://cf.shopee.vn/file/44a9d45eb05d142946beeab777c0e963_tn,False
1922,https://shopee.vn/X%E1%BA%A2-TO%C3%80N-KHO-.-%C4%91i%E1%BB%87n-tho%E1%BA%A1i-Oppo-Neo5-A31-2sim-ram-2G-16G-m%E1%BB%9Bi-Ch%C3%ADnh-h%C3%A3ng-ch%C6%A1i-Tiktok-Fb-Youtube-Zalo-game-PUBG-Free-F-i.466248540.11644116609?position=1218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"XẢ TOÀN KHO . điện thoại Oppo Neo5 A31 2sim ram 2G/16G mới Chính hãng, chơi Tiktok Fb Youtube Zalo, game PUBG/Free F",398.400,₫398.400 - ₫561.300,False,,,2/tháng,Hà Nội,False,,False,,https://cf.shopee.vn/file/5526824ca5270957442c78fb44f5bd90_tn,False
1923,https://shopee.vn/%C4%91i%E1%BB%87n-tho%E1%BA%A1i-samsung-J7-prime-i.215026986.9074259660?position=1220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,điện thoại samsung J7 prime,1.249.000,₫1.249.000,False,5.0,1.0,2/tháng,Hải Dương,False,,False,,https://cf.shopee.vn/file/633c7c4b490cc66db2421c85e4be3fa2_tn,False
1924,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Nokia-105-Single-SIM-(1-sim)-H%C3%A0ng-Ch%C3%ADnh-h%C3%A3ng-i.51080905.2913153753?position=1236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Điện thoại Nokia 105 Single SIM (1 sim) - Hàng Chính hãng,380.000,₫380.000,False,4.89,70.0,1/tháng,Hà Nội,True,,False,,https://cf.shopee.vn/file/b4f63edcfde14bff5b9da698dba99cf7_tn,False
1925,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Samsung-Galaxy-A52-(8GB-128GB)-H%C3%A0ng-Ch%C3%ADnh-H%C3%A3ng-M%E1%BB%9Bi-100--i.2849350.5684735068?position=1327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Điện thoại Samsung Galaxy A52 (8GB/128GB) - Hàng Chính Hãng Mới 100%,7.960.000,₫9.290.000,True,4.95,21.0,1/tháng,Hà Nội,True,Yêu thích,False,"14%
GIẢM",https://cf.shopee.vn/file/e82329650aa1c0dd550fbf2c78990436_tn,True
1926,https://shopee.vn/%E1%BB%94-kho%C3%A1-xe-%C4%91i%E1%BB%87n-133s-mini-ru%E1%BB%93i-nh%E1%BB%8F-h%C3%A0ng-ch%C3%ADnh-h%C3%A3ng-i.32705425.1803951123?position=1334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ổ khoá xe điện 133s mini ruồi nhỏ hàng chính hãng,55.000,₫55.000,True,4.8,30.0,1/tháng,Hải Dương,True,,False,,https://cf.shopee.vn/file/e32bb0b1ca122b18c62b34d8c2d9eed3_tn,False
1927,https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Nokia-6300-%C4%90%E1%BB%A7-M%C3%A0u-Ki%E1%BB%83u-D%C3%A1ng-Nh%E1%BB%8F-G%E1%BB%8Dn-Ti%E1%BB%87n-L%E1%BB%A3i-i.39413762.3362593622?position=1355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Điện Thoại Nokia 6300 Đủ Màu Kiểu Dáng Nhỏ Gọn Tiện Lợi,360.000,₫360.000 - ₫380.000,False,5.0,4.0,1/tháng,TP. Hồ Chí Minh,True,Yêu thích,False,"24%
GIẢM",https://cf.shopee.vn/file/adbec1195e5bf415ad5385ca7a61f9c1_tn,True
1928,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-nokia-216-2-sim-(pin-s%E1%BA%A1c)ch%C3%ADnh-h%C3%A3ng-i.129982976.2286321120?position=1357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Điện thoại nokia 216 2 sim (pin+sạc)chính hãng,216.630,₫216.630 - ₫261.580,True,4.78,50.0,1/tháng,Nam Định,False,,False,"18%
GIẢM",https://cf.shopee.vn/file/cd76d77b0c1676c69141c2652a2fa0fb_tn,False
1929,https://shopee.vn/s%E1%BA%A3n-ph%E1%BA%A9m-kh%C3%A1ch-ch%E1%BB%8Dn-live-A220-i.19313658.3982673986?position=1360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sản phẩm khách chọn live A220,220.000,₫220.000,False,4.93,15.0,2/tháng,Ninh Bình,True,Yêu thích,False,,https://cf.shopee.vn/file/c9d4226fc29d7d4fbb3ebd7310ff4e77_tn,True
1930,https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Ng%C6%B0%E1%BB%9Di-%08Gi%C3%A0-Masstel-Fami-11-Loa-To-FM-Kh%C3%B4ng-D%C3%A2y-%C4%90%E1%BB%8Dc-S%E1%BB%91-B%E1%BA%B1ng-Gi%E1%BB%8Dng-N%C3%B3i-m%E1%BB%9Bi-ch%C3%ADnh-h%C3%A3ng-i.154547767.6872624708?position=1362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Điện Thoại Người Già Masstel Fami 11 - Loa To, FM Không Dây, Đọc Số Bằng Giọng Nói - mới chính hãng",265.000,₫265.000,False,4.86,14.0,1/tháng,Vĩnh Phúc,True,,False,,https://cf.shopee.vn/file/3c58da686d06cb2dcda03595882938cb_tn,False
1931,https://shopee.vn/%C4%90t-ph%E1%BB%95-th%C3%B4ng-m%C3%A0n-h%C3%ACnh-l%E1%BB%9Bn-gi%C3%A1-r%E1%BA%BB-i.69872661.4008091675?position=1363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Đt phổ thông màn hình lớn giá rẻ,80.000,₫80.000,False,4.69,26.0,1/tháng,An Giang,True,,False,,https://cf.shopee.vn/file/ff33b788251ee5db27dae648676d34f5_tn,False
1932,https://shopee.vn/-M%C3%A3-SKAMCLU9-gi%E1%BA%A3m-10-%C4%91%C6%A1n-100K-%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Nokia-110-H%C3%A0ng-ch%C3%ADnh-h%C3%A3ng-i.40757878.3103728284?position=1371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Mã SKAMCLU9 giảm 10% đơn 100K] Điện thoại Nokia 110 - Hàng chính hãng,500.000,₫500.000,True,4.93,29.0,1/tháng,Bến Tre,True,,False,,https://cf.shopee.vn/file/f8d95c27b1ebe0f83e3da6d3ad635c7d_tn,True
1933,https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Forme-L6-H%C3%A0ng-Ch%C3%ADnh-H%C3%A3ng-i.193124085.4609364892?position=1373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Điện Thoại Forme L6 - Hàng Chính Hãng,389.000,₫399.000,True,4.9,20.0,1/tháng,Bến Tre,True,,False,"3%
GIẢM",https://cf.shopee.vn/file/f1d25297fbeeb264b6bf763b5d62cd0d_tn,False
1934,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Nokia-150-2020-H%C3%A0ng-ch%C3%ADnh-h%C3%A3ng-i.40757878.5635515435?position=1375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Điện thoại Nokia 150 2020 - Hàng chính hãng,680.000,₫680.000,True,5.0,17.0,1/tháng,Bến Tre,True,,False,,https://cf.shopee.vn/file/0c0e2fe638509607cf8124e75fe2f19e_tn,True
1935,https://shopee.vn/%C4%90I%E1%BB%86N-THO%E1%BA%A0I-NOKIA-215-CH%C3%8DNH-H%C3%83NG-(-c%C5%A9-%C4%91%E1%BA%B9p-99-)-giao-m%C3%A0u-ng%E1%BA%ABu-nhi%C3%AAn-i.96292182.3734333600?position=1383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ĐIỆN THOẠI NOKIA 215 CHÍNH HÃNG ( cũ đẹp 99% ) giao màu ngẫu nhiên,185.000,₫185.000 - ₫225.000,False,4.58,19.0,1/tháng,Hà Nội,True,,False,"29%
GIẢM",https://cf.shopee.vn/file/e83dcaa982f8e1240791d8c66c281da4_tn,True
1936,https://shopee.vn/-X%E1%BA%A3-Kho-Gi%C3%A1-Si%C3%AAu-S%E1%BB%91c-_Nokia-8210_%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Nokia-C%E1%BB%95-8210-Ch%C3%ADnh-H%C3%A3ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-Pin-chu%E1%BA%A9n-s%C3%A0i-2-%C4%91%C3%AAn-3-ng%C3%A0y-i.116554044.8245529892?position=1392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{ Xả Kho Giá Siêu Sốc }_Nokia 8210_Điện Thoại Nokia Cổ 8210 Chính Hãng Bảo Hành 12 Tháng Pin chuẩn sài 2 đên 3 ngày,399.000,₫399.000,False,5.0,5.0,1/tháng,Hưng Yên,False,Yêu thích,False,,https://cf.shopee.vn/file/e6b5d525d31d18072df91b00f405cbb6_tn,True
1937,https://shopee.vn/%C4%91i%E1%BB%87n-tho%E1%BA%A1i-Xiaomi-Redmi-5-Plus-2sim-64G-ram4G-m%E1%BB%9Bi-Ch%C3%ADnh-H%C3%A3ng-ch%C6%A1i-LI%C3%8AN-QU%C3%82N-m%C6%B0%E1%BB%9Bt-i.122206336.4237749046?position=1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,điện thoại Xiaomi Redmi 5 Plus 2sim 64G/ram4G mới Chính Hãng - chơi LIÊN QUÂN mướt,2.099.000,₫2.499.000,True,5.0,21.0,1/tháng,TP. Hồ Chí Minh,True,Yêu thích,False,"16%
GIẢM",https://cf.shopee.vn/file/eb174d19e6d13159b78e5de0eda1ebc4_tn,True
1938,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-sharp-shl23-%C4%90i%E1%BB%87n-tho%E1%BA%A1i-nh%E1%BA%ADt-ch%C3%B4ng-n%C6%B0%E1%BB%9Bc-i.199422123.6584084754?position=1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Điện thoại sharp shl23 - Điện thoại nhật chông nước,530.000,₫530.000,True,4.43,22.0,2/tháng,Hà Nội,True,Yêu thích,False,,https://cf.shopee.vn/file/b7545aff9739a6e44e3d27cc7fd56506_tn,False
1939,https://shopee.vn/%C4%90%C3%A8n-Livestream-%C4%90%E1%BB%83-B%C3%A0n-2-K%E1%BA%B9p-%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-G%E1%BB%8Dn-c%E1%BB%A9ng-c%C3%A1p-i.313656881.8771576512?position=1409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Đèn Livestream Để Bàn 2 Kẹp Điện Thoại Gọn cứng cáp,96.000,₫129.000,True,5.0,9.0,3/tháng,TP. Hồ Chí Minh,True,Yêu thích,False,"26%
GIẢM",https://cf.shopee.vn/file/1e5ef2f0c70471fe4615b97183b5c18b_tn,False
1940,https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-b%E1%BB%99-%C4%91%C3%A0m-loa-to-3-sim-kechaoda-k888-cho-ng%C6%B0%E1%BB%9Di-gi%C3%A0-pin-kh%E1%BB%A7ng-S%E1%BA%A1c-pin-cho-m%C3%A1y-kh%C3%A1c-i.208445880.8922623910?position=1411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Điện Thoại bộ đàm loa to 3 sim kechaoda k888 cho người già pin khủng,Sạc pin cho máy khác",529.500,₫529.500,False,5.0,7.0,1/tháng,TP. Hồ Chí Minh,False,Yêu thích,False,,https://cf.shopee.vn/file/f57b268c8ac4375f9849318657c75f24_tn,False
