,product_url,name_product,rating_product,rating_count_product,quantity_5_star,quantity_4_star,quantity_3_star,quantity_2_star,quantity_1_star,count_cmt,images_video,sold_out,low_price,hight_price,price,inventory,return_7_days,authentic,freeship,shopee_guaranteed,company,shop_name,shopee_mall,shop_total_review,total_products,response_rate,time_response,years_ex,follower
287,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Nokia-mini-si%C3%AAu-nh%E1%BB%8F-3310-2-sim-s%C3%B3ng-kh%E1%BB%8Fe-loa-to-h%E1%BB%97-tr%E1%BB%A3-blutooth-mp3-th%E1%BA%BB-nh%E1%BB%9B-SD-i.80188481.4254677746?position=2094,"Yêu Thích
Điện thoại Nokia mini siêu nhỏ 3310 2 sim,sóng khỏe,loa to hỗ trợ blutooth,mp3,thẻ nhớ SD",,,,,,,,,,3,,,189000.00,1,,,,3 Ngày Trả Hàng / Hoàn Tiền,Linh Kien Tan Phat Nhat Tao,linhkientanphatpc,False,"5,8k",681,35%,trong vài giờ,3 năm trước,"1,8k"
288,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-c%E1%BB%95-Nokia-301-2-Sim-2-S%C3%B3ng-3G-Nhi%E1%BB%81u-m%C3%A0u-s%E1%BA%AFc-Full-Ph%E1%BB%A5-Ki%E1%BB%87n-BH-1-%C4%91%E1%BB%95i-1-trong-1-th%C3%A1ng-%C4%91%E1%BA%A7u-ti%C3%AAn-i.268722979.3268807085?position=2100,"Điện thoại cổ Nokia 301 2 Sim 2 Sóng 3G Nhiều màu sắc, Full Phụ Kiện - BH 1 đổi 1 trong 1 tháng đầu tiên",,,,,,,,,,3,790000.00,690000.00,,9,,,,3 Ngày Trả Hàng / Hoàn Tiền,Điện Thoại Di Động Cổ,dienthoaididongcocom,False,40,52,81%,trong vài giờ,16 tháng trước,388
289,https://shopee.vn/Cu%CC%89-sa%CC%A3c-Samsung-galaxy-S8-S8-note-8-C%E1%BB%91c-s%E1%BA%A1c-nhanh-samsung-i.215326676.3218233060?position=2101,"Củ sạc Samsung galaxy S8/S8+/note 8 , Cốc sạc nhanh samsung",5.00,1,,,,,,,,3,,,50000.00,98,,,,3 Ngày Trả Hàng / Hoàn Tiền,SIM USB 4G LUNA,luna_shoping,False,409,80,97%,trong vài giờ,21 tháng trước,"1,2k"
290,https://shopee.vn/Main-%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-iPhone-6G-16G-c%C5%A9-c%C3%B2n-d%C3%B9ng-t%E1%BB%91t-i.322373963.3053305101?position=2102,Main Điện Thoại iPhone 6G/16G cũ còn dùng tốt,,,,,,,,,,4,1400000.00,800000.00,,3,,,,3 Ngày Trả Hàng / Hoàn Tiền,LinhPhụKiệnZin Chính Hãng,linkphukienmobi,False,10,130,46%,trong vài giờ,12 tháng trước,13
291,https://shopee.vn/khay-sim-%C4%91i%E1%BB%87n-tho%E1%BA%A1i-realme-c3-i.147309148.3026551114?position=2103,"Yêu Thích
khay sim điện thoại realme c3",,,,,,,,,,5,,,30000.00,13,,,,3 Ngày Trả Hàng / Hoàn Tiền,linhkienbaoan,linhkienbaoan2018,False,495,682,90%,trong vài giờ,29 tháng trước,120
292,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-nokia-e5-00-ch%C3%ADnh-h%C3%A1ng-gi%C3%A1-r%E1%BA%BB-i.136092747.2848534252?position=2104,Điện thoại nokia e5 00 chính háng giá rẻ,,,,,,,,,,10,395000.00,345000.00,,54,,,,3 Ngày Trả Hàng / Hoàn Tiền,dien.tu.2tek.3,dienthoainokia1,False,892,139,52%,trong vài giờ,31 tháng trước,365
293,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-SONY-XPERIA-XZ1-b%E1%BA%A3n-QU%E1%BB%90C-T%E1%BA%BE-1-Sim-i.69979363.2456334633?position=2105,Điện thoại SONY XPERIA XZ1 bản QUỐC TẾ 1 Sim,,,,,,,,,,4,,,4499000.00,12,,,,3 Ngày Trả Hàng / Hoàn Tiền,sp.groceries,sp.groceries,False,101,11,7%,trong vài phút,3 năm trước,15
294,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Ph%E1%BB%95-Th%C3%B4ng-masstel-izi-206-210-ch%E1%BB%AF-to-pin-kho%E1%BA%BB-ch%C3%ADnh-h%C3%A3ng-b%E1%BA%A3o-h%C3%A0nh-12-th%C3%A1ng-i.154547767.2305551634?position=2106,"Điện thoại Phổ Thông masstel izi 206,210 chữ to, pin khoẻ - chính hãng bảo hành 12 tháng",,,,,,,,,,7,,,259800.00,98,,,,3 Ngày Trả Hàng / Hoàn Tiền,sieuthihangchinhhangvn,sieuthihangchinhhangvn,False,98,59,19%,trong vài phút,28 tháng trước,33
295,https://shopee.vn/nokia-110i-ch%C3%ADnh-h%C3%A3ng-pin-s%E1%BA%A1c-%C4%91%E1%BA%A7y-%C4%91%E1%BB%A7-i.49712915.2269104412?position=2107,nokia 110i chính hãng pin sạc đầy đủ,,,,,,,,,,2,,,150000.00,17,,,,3 Ngày Trả Hàng / Hoàn Tiền,shop uy tín2016,195dung,False,1,15,47%,trong vài phút,4 năm trước,13
296,https://shopee.vn/Nokie-E63-h%C3%A0ng-c%C3%B4ng-ty-c%C5%A9-i.127150525.2140380063?position=2108,Nokie E63 hàng công ty cũ,,,,,,,,,,5,,,350000.00,4,,,,3 Ngày Trả Hàng / Hoàn Tiền,ĐIỆN THOẠI RẺ HÀ NỘI,dienthoaigiare_hn,False,50,24,45%,trong vài giờ,32 tháng trước,165
297,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-nokia-110i-ch%C3%ADnh-h%C3%A3ng-i.60495421.2107856037?position=2109,Điện thoại nokia 110i chính hãng,,,,,,,,,,2,,,145000.00,98,,,,3 Ngày Trả Hàng / Hoàn Tiền,dungthuymobile,dungthuymobile,False,31,314,14%,trong vài giờ,4 năm trước,51
