,name,price_dis,price_nondis,freeship,rating,rating_count,monthly_sold,store_location,monthly_event,favorite_product,shopee_mall,discount_tag,product_url,image,ShopDacBiet
1802,Điện thoại pin khủng A8+,360.000,₫360.000,True,5.00,1,1/tháng,Vĩnh Phúc,True,,False,,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-pin-kh%E1%BB%A7ng-A8--i.444158833.8281158081?position=1962,https://cf.shopee.vn/file/2ffdbf9d58ca160ee4edb271139e3aff_tn,False
1803,ỐP ĐIỆN THOẠI IPHONE HEO CUTE MÓC KHOÁ HEO XINH 7plus.8plus.X.Xs.Xsmax.11.11promax.12pro,50.000,₫50.000 - ₫64.000,False,5.00,1,1/tháng,Hà Nội,True,,False,,https://shopee.vn/%E1%BB%90P-%C4%90I%E1%BB%86N-THO%E1%BA%A0I-IPHONE-HEO-CUTE-M%C3%93C-KHO%C3%81-HEO-XINH-7plus.8plus.X.Xs.Xsmax.11.11promax.12pro-i.101855914.5495383394?position=1963,https://cf.shopee.vn/file/0f1a43987136c3a410e187fbe351d788_tn,False
1804,Điện thoại Oppo A77 Ram 3/ 32gb máy mới full box tặng kèm ốp lưng,1.420.000,₫1.800.000,False,5.00,1,1/tháng,Hà Nội,True,,False,"21%
GIẢM",https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Oppo-A77-Ram-3-32gb-m%C3%A1y-m%E1%BB%9Bi-full-box-t%E1%BA%B7ng-k%C3%A8m-%E1%BB%91p-l%C6%B0ng-i.445571332.4895662293?position=1964,https://cf.shopee.vn/file/684cc668476b19337c3a41a5f5664d9b_tn,False
1805,Hàng Chính Hãng Khung Sườn Máy Điện Thoại Samsung Galaxy S8.,89.000,₫89.000,False,5.00,1,1/tháng,TP. Hồ Chí Minh,True,,False,,https://shopee.vn/H%C3%A0ng-Ch%C3%ADnh-H%C3%A3ng-Khung-S%C6%B0%E1%BB%9Dn-M%C3%A1y-%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Samsung-Galaxy-S8.-i.1179691.11016457389?position=1965,https://cf.shopee.vn/file/66a2d2bdd5843fe28d5521e79394b85e_tn,False
1806,điện thoại iP 6s quốc tế 32g chính hãng 99%,2.150.000,₫2.150.000,False,5.00,1,1/tháng,TP. Hồ Chí Minh,False,,False,,https://shopee.vn/%C4%91i%E1%BB%87n-tho%E1%BA%A1i-iP-6s-qu%E1%BB%91c-t%E1%BA%BF-32g-ch%C3%ADnh-h%C3%A3ng-99--i.18355952.11013715875?position=1966,https://cf.shopee.vn/file/d32dbfdcbe480ffaf2df0d803cd6df3f_tn,False
1807,Vỏ Nắp Lưng Kính Oppo Reno 2 Tháo Máy Đẹp,250.000,₫250.000,False,5.00,1,1/tháng,TP. Hồ Chí Minh,True,Yêu thích,False,,https://shopee.vn/V%E1%BB%8F-N%E1%BA%AFp-L%C6%B0ng-K%C3%ADnh-Oppo-Reno-2-Th%C3%A1o-M%C3%A1y-%C4%90%E1%BA%B9p-i.366405402.11010029781?position=1967,https://cf.shopee.vn/file/e9fa5c04eafd37a9a22fcc2aa39096a9_tn,True
1808,"Nokia 6300 Chuẩn Nokia, kèm pin dung lượng cao",380.000,₫380.000,False,5.00,1,1/tháng,Hà Nội,False,,False,,https://shopee.vn/Nokia-6300-Chu%E1%BA%A9n-Nokia-k%C3%A8m-pin-dung-l%C6%B0%E1%BB%A3ng-cao-i.264888176.10409779594?position=1968,https://cf.shopee.vn/file/fef65609d1b01b75f4d0e09a7dc8c059_tn,False
1809,Điện thoại Samsung Galaxy A22 (6GB/128) Hàng Chính Hãng,4.890.000,₫5.890.000,True,5.00,1,1/tháng,Hà Nội,True,Yêu thích,False,"17%
GIẢM",https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Samsung-Galaxy-A22-(6GB-128)-H%C3%A0ng-Ch%C3%ADnh-H%C3%A3ng-i.14947974.9671083918?position=1969,https://cf.shopee.vn/file/e6af6b9c133d03ef6e10ac3a27beec49_tn,True
1810,Loa Trong Zin Bóc Máy Vsmart Joy 3 Bảo Hành Lỗi 1 Đổi 1,50.000,₫50.000,False,5.00,1,1/tháng,Hà Nội,True,Yêu thích,False,,https://shopee.vn/Loa-Trong-Zin-B%C3%B3c-M%C3%A1y-Vsmart-Joy-3-B%E1%BA%A3o-H%C3%A0nh-L%E1%BB%97i-1-%C4%90%E1%BB%95i-1-i.40711448.9573538360?position=1970,https://cf.shopee.vn/file/ed9c0aac1498c86b7b2d71c40cf1479f_tn,False
1811,Phím cho blackberry 97xx,19.000,₫19.000,False,5.00,1,1/tháng,Hà Nội,True,,False,,https://shopee.vn/Ph%C3%ADm-cho-blackberry-97xx-i.191951750.9572079442?position=1971,https://cf.shopee.vn/file/72b8ce75000a3e1cb8855d3e6b16affb_tn,False
